empid,promoted,training,manager,raise,salary,children,mstatus,age,sex,edu,vacation,weight,height,hrfriend,cxofriend,insurance,flexspend,retcont,race,disthome,testscore
2090,Yes,Yes,No,Yes,Under $20k,3,married,54,Male,9,9,175.28,73.25,No,Yes,Covered & Medicaid,No,No,white,16,67
2091,Yes,No,No,No,$20-$40k,2,divorced,50,Female,12,10,198.25,63.55,Yes,Yes,Medicaid,No,No,white,29,76
2092,No,No,No,No,Under $20k,0,single,55,Female,12,9,116.98,58.12,No,No,Covered & Medicaid,Yes,No,white,36,58
2093,Yes,No,No,Yes,$20-$40k,0,single,51,Female,12,7,96.01,59.75,No,Yes,Covered,No,No,white,25,91
2097,Yes,No,No,Yes,Under $20k,1,divorced,48,Female,8,8,147.81,54.86,Yes,No,Medicaid,No,No,black,24,57
2098,No,No,No,Yes,$20-$40k,3,married,55,Male,13,10,153.35,74.98,Yes,Yes,Covered & Medicaid,No,No,white,31,71.5
2099,No,No,No,No,$20-$40k,1,married,23,Female,9,13,116.38,63.37,Yes,Yes,Medicaid,No,Yes,white,38,52
2101,Yes,No,No,Yes,$20-$40k,2,single,38,Female,13,13,175.09,57.5,Yes,Yes,Covered,No,No,white,37,63.5
2102,Yes,No,No,Yes,$20-$40k,2,single,41,Male,12,8,123.81,59.45,Yes,No,Medicaid,No,No,white,31,64
2106,Yes,Yes,No,No,Under $20k,0,single,28,Male,11,12,200.18,71.62,Yes,No,Covered,Yes,No,white,17,78.5
2109,Yes,No,No,No,$20-$40k,0,single,49,Female,12,8,119.9,60.3,Yes,Yes,Medicaid,Yes,No,white,22,66.5
2110,No,No,No,No,Under $20k,2,single,32,Male,7,15,181.49,64.27,Yes,Yes,Medicaid,No,Yes,black,40,50.5
2113,Yes,No,No,No,Under $20k,1,single,37,Female,11,10,168.14,69.61,No,Yes,Medicaid,No,Yes,other,21,62
2115,No,Yes,No,No,Under $20k,2,divorced,46,Female,11,9,186.58,73.39,No,Yes,Covered & Medicaid,Yes,No,white,14,55
2116,No,Yes,No,Yes,Under $20k,2,married,49,Female,11,8,120.94,63.55,No,Yes,Medicaid,No,No,white,13,35.5
2117,Yes,Yes,No,No,$40-$80k,1,single,49,Female,14,8,159.05,63.55,Yes,Yes,Covered,No,No,white,23,61
2124,Yes,Yes,No,Yes,Under $20k,2,single,61,Female,11,9,158.68,59.75,Yes,No,Covered & Medicaid,No,No,white,19,58
2126,Yes,Yes,Yes,No,> $80k,0,single,34,Male,18,8,251.71,57.84,No,Yes,Covered,No,No,white,17,52.5
2130,Yes,No,No,No,Under $20k,2,single,49,Male,14,9,95.65,60.56,Yes,Yes,Covered & Medicaid,No,No,white,14,70
2131,Yes,No,No,No,Under $20k,1,single,39,Male,6,9,116.96,63.45,No,Yes,Medicaid,Yes,No,other,35,86.5
2132,No,No,No,Yes,Under $20k,1,single,18,Male,14,17,178.85,77.13,Yes,Yes,Medicaid,No,No,other,32,60
2133,No,No,No,No,Under $20k,2,single,50,Male,10,13,129.96,61.06,No,Yes,Medicaid,Yes,No,white,34,40
2134,Yes,No,Yes,No,> $80k,1,single,37,Male,14,7,227.07,69.79,Yes,Yes,Covered,No,No,white,13,90
2135,Yes,Yes,No,Yes,Under $20k,1,single,56,Female,12,7,124.56,58.26,No,Yes,Covered & Medicaid,No,No,white,23,63.5
2136,No,No,No,Yes,Under $20k,2,single,57,Female,8,10,229.44,68.09,Yes,No,Medicaid,No,No,white,30,76
2137,Yes,No,No,No,Under $20k,2,single,50,Female,10,8,136.51,61.28,Yes,Yes,Medicaid,No,No,white,12,76
2138,No,No,No,No,$20-$40k,1,married,22,Female,12,9,130.45,65.73,No,Yes,Covered,No,Yes,other,22,76.5
2139,No,No,No,Yes,Under $20k,1,married,29,Male,12,9,178.2,77.93,No,No,Medicaid,No,No,white,21,59.5
2141,Yes,Yes,No,No,Under $20k,0,single,42,Male,10,11,186.38,71.5,No,No,Covered,Yes,No,white,3,72.5
2142,Yes,No,Yes,Yes,> $80k,1,divorced,54,Male,21,8,126.1,62.87,No,Yes,Covered,No,No,white,14,64
2144,No,No,No,No,Under $20k,4,married,47,Female,12,7,168.97,59.77,No,Yes,Medicaid,Yes,No,black,27,47
2147,Yes,Yes,No,Yes,$20-$40k,2,divorced,32,Female,13,11,193.72,67.76,Yes,No,Covered & Medicaid,No,No,black,20,78.5
2151,No,Yes,No,No,Under $20k,0,single,54,Male,11,9,189.1,77.13,No,Yes,Covered & Medicaid,Yes,No,white,22,26
2152,Yes,No,No,No,Under $20k,1,single,51,Female,8,7,109.24,55.99,Yes,No,Covered & Medicaid,No,No,white,36,77.5
2165,Yes,Yes,No,No,Under $20k,2,single,52,Female,14,11,111.24,60.84,No,No,Covered & Medicaid,Yes,No,white,21,70
2170,No,Yes,No,No,Under $20k,2,single,18,Female,10,13,120.9,58.12,No,No,Medicaid,No,No,other,24,40
2173,Yes,No,No,No,Under $20k,1,single,41,Female,12,12,119.88,61.98,Yes,No,Other,No,No,white,30,66.5
2176,Yes,Yes,No,No,$20-$40k,0,married,45,Male,15,11,162.87,61.86,No,Yes,Covered,Yes,Yes,white,10,59.5
2177,Yes,Yes,No,No,Under $20k,1,divorced,46,Male,12,8,192.58,69.09,Yes,No,Covered & Medicaid,Yes,No,white,6,66
2179,Yes,Yes,No,No,$20-$40k,1,single,45,Male,12,11,140.88,61.06,Yes,Yes,Covered,No,No,white,20,60
2180,Yes,Yes,No,No,$40-$80k,4,married,32,Male,12,15,166.22,69.09,Yes,Yes,Other,No,No,white,17,53.5
2181,Yes,No,No,No,$20-$40k,0,single,45,Female,16,10,180.1,55.23,Yes,Yes,Covered,No,No,white,19,78
2184,Yes,No,No,No,$20-$40k,1,single,38,Female,12,15,154.86,65.07,No,Yes,Covered,No,Yes,white,14,75
2186,No,No,No,No,$20-$40k,4,married,41,Male,12,15,130.13,61.06,No,No,Medicaid,No,Yes,black,34,66.5
2187,Yes,No,No,Yes,$40-$80k,2,divorced,36,Male,14,9,164.71,57.68,No,Yes,Covered,No,Yes,white,23,52.5
2189,Yes,No,No,No,Under $20k,2,divorced,50,Male,8,7,210.47,70.7,No,Yes,Covered & Medicaid,No,No,white,20,76.5
2192,Yes,No,No,Yes,Under $20k,1,divorced,31,Male,10,10,134.45,64.01,Yes,No,Other,No,No,black,13,80
2193,Yes,No,No,No,Under $20k,3,divorced,58,Male,11,9,98.35,59.41,No,Yes,Medicaid,Yes,No,other,25,68
2194,Yes,Yes,No,Yes,Under $20k,2,divorced,54,Male,11,7,130.21,78.21,Yes,No,Covered & Medicaid,No,No,white,12,67
2195,Yes,No,No,No,Under $20k,1,single,26,Female,11,11,189.11,56.75,No,No,Medicaid,No,Yes,black,15,67
2196,Yes,Yes,No,No,Under $20k,1,married,32,Male,11,10,156.16,64.27,No,Yes,Medicaid,No,No,white,27,57.5
2197,Yes,No,No,No,Under $20k,1,single,39,Male,10,12,221.51,64.27,Yes,No,Medicaid,No,Yes,white,17,65.5
2198,Yes,Yes,No,No,Under $20k,1,single,37,Female,9,8,308.63,63.55,No,Yes,Medicaid,No,No,white,11,56
2199,No,Yes,No,No,Under $20k,1,married,48,Female,15,10,160.98,63.55,No,No,Medicaid,Yes,No,white,23,35
2200,No,No,No,No,$40-$80k,0,single,22,Male,12,15,128.28,69.9,No,No,Covered,No,Yes,other,25,81
2201,Yes,No,No,Yes,Under $20k,1,single,53,Female,12,9,165.86,56.75,Yes,No,Medicaid,No,No,white,26,52
2202,Yes,No,No,No,Under $20k,1,single,44,Female,11,8,150.3,70.78,Yes,Yes,Medicaid,No,Yes,white,17,85.5
2203,Yes,Yes,No,No,Under $20k,0,single,39,Male,6,10,268.89,69.9,Yes,Yes,Other,Yes,No,white,4,52.5
2205,Yes,No,No,No,Under $20k,2,divorced,39,Male,12,17,186.46,61.06,Yes,Yes,Other,Yes,No,other,31,66
2208,Yes,No,No,Yes,$20-$40k,2,divorced,47,Female,14,7,131.11,64.31,No,Yes,Covered & Medicaid,No,No,white,29,53
2210,Yes,No,No,No,$20-$40k,2,divorced,45,Male,16,8,154.46,71.52,No,Yes,Medicaid,No,No,white,21,73.5
2211,No,Yes,No,Yes,$20-$40k,1,single,28,Male,11,8,228.05,73.11,No,Yes,Medicaid,No,No,white,14,18.5
2213,Yes,No,No,Yes,Under $20k,3,divorced,54,Male,9,8,149.78,58.83,Yes,Yes,Covered & Medicaid,No,No,white,31,54
2214,Yes,No,No,No,Under $20k,0,divorced,34,Male,11,10,115.88,63.45,Yes,Yes,Medicaid,No,Yes,black,40,52
2215,Yes,No,No,No,Under $20k,2,single,55,Female,10,10,111.87,64.1,Yes,No,Covered & Medicaid,No,Yes,white,23,77
2216,Yes,No,No,Yes,$20-$40k,1,divorced,46,Female,13,8,178.1,61.69,Yes,No,Covered,No,No,other,29,75.5
2218,Yes,No,No,Yes,Under $20k,5,married,54,Male,11,9,167.98,64.27,No,Yes,Medicaid,No,No,other,18,79.5
2219,No,Yes,No,Yes,Under $20k,2,single,52,Male,10,10,189.55,78.73,Yes,Yes,Medicaid,No,No,white,10,57.5
2220,Yes,No,No,No,$20-$40k,2,divorced,39,Male,12,11,187.71,75.52,No,Yes,Covered,No,No,white,34,62
2221,Yes,No,No,No,Under $20k,2,married,46,Female,10,12,178.51,61.28,No,Yes,Covered,No,No,white,25,66.5
2224,Yes,Yes,No,No,Under $20k,2,married,47,Female,8,7,180.26,68.85,Yes,No,Covered & Medicaid,No,No,black,2,66
2225,Yes,Yes,No,Yes,Under $20k,2,single,44,Male,11,15,152.47,67.49,No,Yes,Medicaid,Yes,No,white,18,73.5
2229,Yes,No,No,Yes,Under $20k,2,divorced,42,Female,9,7,194.98,71.88,Yes,Yes,Medicaid,Yes,No,white,38,84.5
2231,No,No,No,Yes,Under $20k,1,single,18,Male,14,13,143.95,75.7,No,Yes,Other,No,No,other,33,51.5
2232,Yes,Yes,No,No,Under $20k,2,married,40,Female,12,7,224.43,63.55,Yes,Yes,Medicaid,No,No,white,5,67.5
2233,Yes,Yes,No,Yes,$20-$40k,2,divorced,52,Female,16,10,146.96,66.27,No,Yes,Covered & Medicaid,Yes,No,white,30,78
2234,Yes,No,Yes,No,> $80k,2,divorced,48,Male,20,10,177.53,71.5,Yes,Yes,Covered,No,No,white,15,71
2240,No,No,Yes,No,> $80k,2,married,40,Male,12,6,285.36,80.34,Yes,No,Covered,Yes,No,white,31,57.5
2242,Yes,No,No,Yes,Under $20k,2,divorced,58,Female,4,10,168.53,61.28,No,Yes,Medicaid,No,No,black,28,86.5
2244,Yes,No,No,No,$40-$80k,2,married,37,Female,16,8,122.47,68.44,Yes,No,Covered,Yes,No,white,17,87.5
2246,Yes,Yes,Yes,No,$40-$80k,1,divorced,47,Male,16,10,193.32,75.52,Yes,Yes,Covered,No,No,white,24,64.5
2247,Yes,No,No,Yes,Under $20k,2,single,57,Male,12,6,131.35,68.06,No,No,Medicaid,No,No,white,13,73
2248,No,No,No,Yes,$40-$80k,3,married,31,Female,9,6,93.37,65.82,No,No,Covered,No,No,white,27,40
2249,Yes,No,No,Yes,Under $20k,2,divorced,50,Female,12,8,121.96,58.67,Yes,No,Medicaid,No,No,white,39,67.5
2250,Yes,No,No,Yes,$20-$40k,5,married,48,Female,5,9,211.88,58.26,No,Yes,Medicaid,Yes,No,white,33,67
2253,No,Yes,Yes,No,$40-$80k,1,single,31,Female,12,6,106.25,57.58,Yes,No,Covered,Yes,No,white,15,36.5
2254,Yes,Yes,No,No,$20-$40k,2,married,42,Male,11,9,226.97,67.49,No,Yes,Medicaid,No,No,white,24,50
2258,Yes,Yes,No,Yes,Under $20k,1,single,57,Male,11,14,176.66,57.84,Yes,No,Medicaid,No,No,white,2,60
2260,Yes,No,No,No,Under $20k,5,married,51,Female,12,8,215.95,74.15,Yes,Yes,Covered & Medicaid,Yes,No,white,15,76
2261,Yes,Yes,No,No,> $80k,0,married,29,Female,16,7,119.67,58.26,Yes,No,Covered,Yes,No,white,9,58
2263,Yes,Yes,No,Yes,$20-$40k,1,single,54,Male,20,9,168.64,67.49,No,Yes,Covered & Medicaid,No,No,white,14,59
2264,Yes,Yes,No,No,Under $20k,0,single,53,Female,11,10,103.35,54.86,Yes,No,Covered & Medicaid,No,No,white,21,57.5
2266,Yes,No,No,No,Under $20k,4,married,52,Male,11,10,178.54,65.08,Yes,Yes,Covered & Medicaid,No,Yes,black,20,57.5
2268,No,Yes,No,No,$40-$80k,2,married,38,Male,12,15,236.34,68.29,Yes,No,Covered,No,No,black,8,52.5
2271,Yes,Yes,No,No,Under $20k,2,single,45,Female,10,10,199.57,68.09,Yes,Yes,Covered,No,No,white,17,80
2273,No,No,No,Yes,Under $20k,1,single,47,Male,12,10,180.43,77.13,No,No,Medicaid,No,No,white,26,55.5
2275,Yes,Yes,No,No,Under $20k,1,single,20,Male,9,7,143.63,64.27,No,Yes,Medicaid,Yes,No,white,5,71
2276,No,Yes,Yes,No,> $80k,1,single,58,Male,24,15,182.23,60.26,Yes,No,Covered,Yes,No,white,8,49
2277,No,Yes,No,No,Under $20k,0,single,32,Male,14,8,148.09,59.45,Yes,No,Medicaid,Yes,No,other,22,67.5
2278,Yes,Yes,No,No,Under $20k,1,single,53,Female,14,9,132.48,69.84,Yes,Yes,Medicaid,No,Yes,white,13,68.5
2283,Yes,Yes,No,No,$20-$40k,1,single,52,Male,3,11,162.11,74.98,Yes,No,Medicaid,No,No,white,11,73.5
2285,Yes,No,No,No,Under $20k,1,single,26,Male,10,10,148.4,68.64,No,Yes,Medicaid,No,No,black,15,80.5
2290,Yes,No,No,Yes,$20-$40k,0,single,55,Male,16,15,186.15,73.11,No,Yes,Covered & Medicaid,Yes,No,white,14,90
2294,No,No,No,No,$20-$40k,1,single,27,Female,11,10,160.86,64.57,No,No,Medicaid,Yes,No,white,21,42
2295,Yes,Yes,No,No,Under $20k,0,single,37,Female,12,11,166.35,69.56,Yes,Yes,Covered,Yes,No,white,30,62.5
2296,No,No,No,No,Under $20k,0,single,22,Male,10,15,181.8,60.26,No,No,Medicaid,No,Yes,black,28,48.5
2298,Yes,No,No,Yes,Under $20k,1,single,52,Female,16,15,155.55,65.07,Yes,No,Medicaid,No,No,white,21,69
2299,No,No,No,Yes,Under $20k,2,single,28,Male,12,8,208.28,57.04,No,Yes,Medicaid,No,No,white,18,34.5
2300,Yes,No,No,No,Under $20k,2,divorced,51,Female,10,7,147.09,59.77,Yes,Yes,Medicaid,No,No,white,15,87
2304,Yes,No,No,Yes,Under $20k,1,single,60,Female,10,10,165.58,65.07,Yes,No,Medicaid,No,No,white,27,66
2305,No,No,No,Yes,$40-$80k,0,single,54,Male,15,7,135.58,69.22,Yes,No,Covered,Yes,No,white,16,69
2306,Yes,No,No,Yes,Under $20k,2,single,61,Female,12,6,188.72,68.09,No,No,Medicaid,Yes,No,white,14,66.5
2308,Yes,Yes,No,No,Under $20k,1,married,46,Male,10,9,180.86,69.09,No,Yes,Medicaid,Yes,No,white,4,51.5
2310,No,Yes,No,No,$40-$80k,1,single,32,Male,14,11,148.64,65.18,No,Yes,Covered,No,No,white,20,60
2315,Yes,No,No,No,Under $20k,2,single,22,Male,8,11,131.48,57.84,Yes,Yes,Other,No,Yes,white,32,78.5
2317,Yes,No,No,No,Under $20k,4,married,55,Male,12,7,153.78,67.49,Yes,Yes,Medicaid,No,No,white,25,64.5
2319,Yes,No,No,No,$20-$40k,2,single,51,Female,12,11,120.89,56.75,No,No,Covered & Medicaid,No,No,white,30,67
2321,No,Yes,No,No,$20-$40k,1,divorced,54,Male,7,12,236.45,60.26,Yes,No,Covered,No,No,black,15,61.5
2322,Yes,Yes,No,No,Under $20k,2,married,41,Female,11,9,241.96,52.96,Yes,Yes,Medicaid,No,No,white,11,65
2326,No,No,No,No,$20-$40k,2,divorced,35,Male,14,10,103.97,59.45,No,Yes,Covered,Yes,No,white,29,40
2327,Yes,No,Yes,No,> $80k,0,divorced,25,Male,14,10,172.51,63.45,Yes,Yes,Covered,Yes,No,white,28,69
2328,Yes,Yes,No,No,Under $20k,2,single,64,Female,15,8,172.06,61.28,Yes,Yes,Medicare,No,No,white,5,64.5
2330,Yes,Yes,No,No,Under $20k,2,married,57,Female,6,7,147.35,76.42,Yes,Yes,Medicaid,No,No,black,27,67.5
2332,No,No,No,No,Under $20k,0,single,56,Male,11,9,168.41,58.65,No,No,Covered & Medicaid,Yes,No,white,28,30
2333,Yes,No,No,No,Under $20k,2,divorced,48,Female,12,11,145.7,55.41,No,No,Medicaid,No,No,white,11,70.5
2335,Yes,Yes,No,No,Under $20k,0,single,49,Female,12,7,161.84,64.1,No,Yes,Medicaid,Yes,No,black,7,52.5
2337,Yes,No,No,Yes,Under $20k,1,divorced,38,Female,12,11,117.79,59.59,No,No,Medicaid,No,No,black,29,70
2338,Yes,Yes,No,Yes,Under $20k,3,married,28,Female,11,7,90.35,55.23,No,Yes,Covered,No,No,black,3,72.5
2339,No,Yes,No,No,Under $20k,0,single,45,Female,12,8,148.88,55.23,No,No,Medicaid,No,No,other,25,43.5
2343,No,No,No,Yes,Under $20k,2,divorced,28,Female,13,11,98.47,65.18,No,No,Covered,No,No,white,18,79.5
2347,Yes,Yes,No,No,$40-$80k,2,divorced,40,Female,12,13,160.91,53.72,Yes,Yes,Covered,Yes,No,other,11,65
2348,Yes,Yes,No,No,$40-$80k,1,divorced,34,Male,12,10,204.23,57.84,No,No,Covered,No,No,white,23,73.5
2350,No,Yes,Yes,No,> $80k,0,single,46,Female,16,15,140.62,54.32,Yes,Yes,Covered,No,Yes,white,18,39
2353,Yes,No,Yes,No,> $80k,3,married,41,Male,16,10,142.91,64.6,Yes,No,Covered,No,No,white,30,73
2355,Yes,Yes,No,No,Under $20k,1,single,18,Male,11,7,91.01,72.31,No,No,Medicaid,No,No,white,3,68.5
2357,Yes,No,No,Yes,Under $20k,0,single,59,Male,8,11,173.31,58.65,No,Yes,Covered & Medicaid,Yes,Yes,white,11,73
2358,Yes,No,No,No,Under $20k,1,single,29,Male,12,8,129.56,64.6,Yes,No,Medicaid,No,No,black,23,87.5
2360,No,No,No,No,Under $20k,1,divorced,43,Female,8,8,143.45,57.04,No,No,Medicaid,No,No,white,39,82.5
2361,Yes,No,No,Yes,Under $20k,2,divorced,38,Male,9,7,148.4,60.26,No,Yes,Medicaid,No,No,black,18,64.5
2362,No,No,No,Yes,$40-$80k,1,single,40,Female,13,11,158.39,62.8,No,Yes,Covered,No,No,white,32,56.5
2364,Yes,No,No,No,Under $20k,2,divorced,46,Female,15,9,91.46,54.32,Yes,Yes,Medicaid,Yes,No,white,13,77.5
2365,No,No,No,No,$20-$40k,1,single,45,Female,15,10,150.5,70.07,Yes,No,Covered,Yes,No,white,21,43
2367,No,Yes,No,No,Under $20k,1,single,18,Female,13,15,131.92,53.72,No,No,Covered,No,No,white,11,44
2370,Yes,Yes,No,Yes,Under $20k,2,divorced,47,Male,12,8,186.61,69.9,No,No,Covered & Medicaid,No,No,white,5,57.5
2371,No,No,No,Yes,Under $20k,1,single,46,Male,8,10,186,73.11,Yes,Yes,Covered & Medicaid,Yes,No,white,22,69
2377,Yes,Yes,No,Yes,Under $20k,2,married,40,Female,9,8,194.87,66.47,Yes,Yes,Medicaid,Yes,No,white,23,74
2378,Yes,No,No,No,$20-$40k,0,single,40,Male,8,10,165.04,62.67,No,Yes,Medicaid,No,No,white,20,74
2379,No,No,No,Yes,Under $20k,1,single,33,Female,13,12,287.21,53.72,Yes,No,Covered,Yes,No,white,39,32.5
2381,Yes,Yes,No,No,Under $20k,4,married,41,Male,11,15,241.61,73.91,Yes,Yes,Covered,No,No,black,8,48
2383,No,No,Yes,Yes,> $80k,1,single,33,Female,17,15,164.02,52.96,No,No,Covered,No,No,white,25,68
2384,No,Yes,No,No,$20-$40k,1,single,37,Male,14,14,261.06,61.06,No,No,Covered,No,No,white,27,66.5
2385,Yes,No,No,No,Under $20k,1,single,55,Male,8,12,150.06,67.49,No,Yes,Covered & Medicaid,Yes,No,white,40,86.5
2389,No,Yes,No,No,Under $20k,1,single,47,Female,12,11,126.67,55.41,No,Yes,Medicaid,Yes,No,black,29,51.5
2391,No,No,No,Yes,Under $20k,3,married,39,Female,9,11,155.94,57.5,No,No,Medicaid,No,No,black,37,40.5
2394,Yes,No,No,No,Under $20k,1,married,54,Female,9,9,159.52,67.9,No,Yes,Medicaid,Yes,No,white,16,78.5
2395,Yes,No,Yes,No,$40-$80k,1,divorced,35,Female,13,9,143.12,62.8,Yes,Yes,Covered,No,Yes,white,37,98
2396,Yes,No,No,No,Under $20k,3,divorced,21,Male,12,15,113.09,65.76,Yes,No,Covered & Medicaid,Yes,Yes,other,35,88.5
2397,Yes,No,No,Yes,$40-$80k,1,divorced,53,Male,12,17,162.67,68.29,Yes,Yes,Covered,No,No,white,39,91
2399,No,Yes,No,No,$40-$80k,1,single,33,Male,12,11,200.65,72.31,Yes,No,Other,Yes,No,white,18,44.5
2400,Yes,No,No,Yes,Under $20k,0,single,42,Male,11,8,109.11,59.45,Yes,Yes,Other,No,No,white,25,75
2404,Yes,No,No,No,Under $20k,3,divorced,56,Male,7,7,165.59,68.29,No,No,Medicaid,Yes,No,white,33,81.5
2405,No,No,No,No,Under $20k,1,single,34,Female,14,7,269.39,70.36,Yes,No,Medicaid,No,No,white,27,58
2406,No,Yes,No,Yes,$20-$40k,2,married,43,Female,12,11,180.13,61.77,Yes,Yes,Covered,Yes,No,black,5,45.5
2407,Yes,No,No,No,Under $20k,1,single,24,Male,11,11,97.77,58.26,Yes,Yes,Other,No,No,white,20,71.5
2409,Yes,No,Yes,No,$40-$80k,1,single,31,Male,16,8,158.19,60.26,No,Yes,Medicaid,No,No,white,30,73
2410,No,No,No,No,Under $20k,1,single,33,Male,11,12,170.36,56.24,No,No,Medicaid,No,Yes,white,26,67.5
2411,Yes,Yes,No,Yes,Under $20k,2,single,57,Male,10,9,143.39,71.5,No,Yes,Covered & Medicaid,No,No,white,20,61.5
2412,Yes,Yes,No,No,$20-$40k,1,single,45,Male,12,17,126.58,63.45,Yes,No,Covered,Yes,No,white,17,66.5
2417,Yes,No,No,No,Under $20k,4,married,45,Female,9,7,82.94,58.67,Yes,No,Covered,Yes,No,black,13,68.5
2418,No,Yes,No,Yes,Under $20k,2,single,21,Female,10,12,149.26,69.61,Yes,Yes,Covered,No,No,white,24,38.5
2420,No,Yes,No,Yes,> $80k,1,single,23,Male,16,9,163.95,59.45,No,No,Covered,No,Yes,white,28,31
2421,No,Yes,No,No,Under $20k,0,single,42,Male,8,11,212.45,65.08,Yes,Yes,Covered,Yes,No,white,14,49.5
2422,No,No,No,Yes,Under $20k,1,married,43,Female,11,16,201.11,62.8,No,Yes,Medicaid,Yes,No,white,31,53
2423,No,No,No,Yes,Under $20k,2,single,45,Female,12,8,230.16,62.8,No,Yes,Medicaid,Yes,No,white,31,65.5
2424,No,Yes,No,No,Under $20k,1,single,43,Female,8,15,112.68,65.18,No,No,Medicaid,No,No,white,19,21.5
2425,Yes,No,No,Yes,Under $20k,1,divorced,58,Female,8,11,140.04,76.42,Yes,Yes,Medicaid,Yes,No,white,23,67
2426,Yes,No,Yes,No,> $80k,2,single,41,Male,16,10,207.71,71.5,Yes,No,Covered,No,No,white,30,82.5
2430,Yes,Yes,No,No,Under $20k,1,divorced,49,Female,13,15,213.91,60.53,No,Yes,Medicaid,No,No,black,30,61
2433,Yes,Yes,No,No,$20-$40k,1,married,45,Male,12,8,240.03,67.49,No,Yes,Covered & Medicaid,No,No,black,2,80.5
2434,No,Yes,No,No,Under $20k,1,single,40,Male,11,12,152.33,74.72,Yes,No,Other,Yes,No,white,24,44
2435,No,No,No,No,$20-$40k,1,divorced,61,Male,12,15,185.45,69.09,No,Yes,Medicaid,No,No,white,33,72
2438,Yes,Yes,Yes,No,$40-$80k,2,single,50,Male,14,11,196.04,63.47,Yes,Yes,Covered,No,No,white,27,67
2439,Yes,Yes,No,No,Under $20k,0,married,42,Male,10,9,250.87,57.04,No,Yes,Medicaid,Yes,No,white,23,47.5
2440,Yes,Yes,No,Yes,Under $20k,1,single,55,Female,10,11,104.58,58.12,Yes,No,Other,Yes,No,white,30,47.5
2442,Yes,Yes,No,No,Under $20k,2,married,37,Female,12,7,219.83,67.34,Yes,No,Medicaid,No,No,white,17,64.5
2443,Yes,No,No,Yes,Under $20k,0,married,43,Male,8,6,108.8,68.29,No,No,Medicaid,No,No,white,38,69
2444,No,Yes,No,No,Under $20k,1,married,61,Female,12,14,137.34,61.28,Yes,Yes,Medicaid,No,No,white,27,49.5
2445,No,No,No,Yes,Under $20k,0,single,22,Male,12,11,101.91,60.56,Yes,Yes,Medicaid,No,No,white,31,74
2446,No,Yes,Yes,Yes,$40-$80k,2,divorced,54,Male,17,12,170.93,71.5,No,No,Covered,No,No,white,27,39.5
2449,Yes,Yes,No,Yes,Under $20k,1,single,53,Male,10,11,198.44,76.32,Yes,No,Covered & Medicaid,Yes,No,white,7,60.5
2450,Yes,Yes,Yes,No,> $80k,1,single,46,Male,18,9,144.18,81.14,Yes,No,Covered,No,No,white,14,42
2451,Yes,No,No,Yes,Under $20k,2,single,51,Male,10,13,212.77,65.08,Yes,No,Covered & Medicaid,Yes,No,white,19,66
2452,Yes,No,Yes,No,$40-$80k,1,single,54,Male,20,13,180.78,58.65,Yes,Yes,Covered,Yes,No,white,36,69.5
2454,No,No,No,Yes,Under $20k,0,single,42,Male,12,8,236.32,77.93,No,Yes,Medicaid,No,No,white,20,28
2456,No,No,Yes,Yes,$40-$80k,5,married,41,Female,8,6,119.08,58.67,No,No,Covered,No,No,white,14,52.5
2459,Yes,No,No,Yes,Under $20k,1,single,55,Female,10,10,106.14,60.69,No,No,Covered & Medicaid,No,No,white,29,86.5
2460,Yes,No,No,No,Under $20k,2,divorced,48,Male,12,7,180.17,62.67,Yes,Yes,Covered & Medicaid,No,No,white,30,72.5
2461,No,No,No,No,$20-$40k,1,divorced,31,Male,8,15,183.84,58.65,No,No,Covered,No,No,white,24,23
2462,Yes,No,No,No,Under $20k,1,married,46,Female,10,10,253.96,65.07,Yes,Yes,Covered & Medicaid,No,No,white,16,76
2465,Yes,No,No,No,Under $20k,5,married,64,Female,11,7,123.65,66.81,Yes,No,Medicare,No,No,white,15,58
2466,No,Yes,No,No,Under $20k,1,single,42,Female,15,7,144.97,60.53,Yes,No,Medicaid,Yes,No,black,29,53.5
2468,No,No,No,Yes,$20-$40k,1,single,46,Male,12,15,170.73,60.26,No,No,Covered & Medicaid,Yes,No,white,15,60
2469,Yes,No,No,No,Under $20k,2,married,25,Male,20,8,180.98,64.27,No,Yes,Medicaid,No,No,black,33,69
2470,Yes,Yes,No,No,Under $20k,1,divorced,54,Female,10,11,112.72,63.25,No,Yes,Covered & Medicaid,No,No,white,7,55
2472,Yes,No,No,Yes,Under $20k,1,single,45,Male,11,6,156.73,65.76,No,Yes,Medicaid,Yes,No,white,20,65
2474,No,No,No,Yes,$40-$80k,2,single,29,Male,15,15,160.89,69.79,Yes,No,Other,No,No,white,38,60.5
2475,Yes,Yes,No,No,$40-$80k,1,single,20,Male,14,11,151.42,66.68,No,Yes,Covered,No,No,other,23,59
2476,Yes,No,No,Yes,Under $20k,2,divorced,51,Male,12,8,147.11,67.49,Yes,No,Medicaid,No,No,white,32,72
2477,No,No,No,No,Under $20k,5,married,27,Male,12,8,119.44,57.04,Yes,No,Medicaid,No,No,white,30,41
2478,Yes,No,No,Yes,Under $20k,3,married,35,Female,11,9,124.01,55.23,Yes,Yes,Medicaid,No,Yes,white,27,65
2480,No,Yes,No,No,$40-$80k,2,divorced,54,Male,12,12,201.11,57.84,No,Yes,Covered,No,No,white,9,52
